mz,rt,t.score,p.value,mode
193.66321,20.707,1.08,0.999998919271019,negative
220.06491,12.617,-0.17,0.999998959311351,negative
180.92617,12.532,1.78,0.999999043181808,negative
311.18627,17.087,-0.2,0.999999051592862,negative
217.04224,1.87,0.45,0.99999907803389,negative
216.90927,14.473,-0.25,0.999999148424544,negative
68.01388,28.434,1.25,0.999999177734917,negative
74.99047,1.16,-0.45,0.999999233900001,negative
254.0782,13.104,0.32,0.999999244076481,negative
157.12333,23.136,0.44,0.999999304337082,negative
128.91422,19.068,0.26,0.999999310833698,negative
83.01354,19.736,-0.31,0.99999937760771,negative
194.00456,25.776,0.31,0.999999393898961,negative
255.23281,28.931,6.14,0.999999484789684,negative
149.00902,13.962,0.16,0.999999505344951,negative
191.92048,1.109,0.59,0.999999551651199,negative
193.03521,16.817,0.24,0.99999956406329,negative
135.94496,28.635,2.68,0.999999568306936,negative
199.13389,1.473,0.11,0.99999962074204,negative
116.03983,11.857,-0.52,0.999999667273218,negative
116.92826,18.107,-0.32,0.999999692060014,negative
174.82893,12.623,0.42,0.99999969292602,negative
90.02834,9.869,0.79,0.999999718731373,negative
190.99943,28.435,1.61,0.999999731228501,negative
101.06048,11.317,0.44,0.999999748297931,negative
223.02475,21.811,-0.42,0.999999751692275,negative
207.06617,16.575,0.22,0.999999752064976,negative
303.08911,8.84,-0.18,0.999999759504761,negative
311.29599,1.258,0.7,0.999999761230203,negative
114.93606,28.635,2.15,0.999999772827785,negative
121.02921,16.829,0.19,0.999999774019527,negative
138.97045,14.929,0.32,0.99999978428414,negative
272.08867,13.06,-0.2,0.999999784549431,negative
409.10837,1.233,-0.9,0.999999796915694,negative
199.17028,28.917,4.87,0.999999800531539,negative
150.01712,8.508,-0.21,0.99999980483296,negative
77.03936,16.837,0.29,0.999999834750391,negative
201.11311,15.614,-0.31,0.999999841839358,negative
161.00908,14.507,-0.31,0.999999846917866,negative
174.93735,14.526,-0.3,0.999999852476299,negative
117.92839,18.079,-0.31,0.999999858168125,negative
79.95705,28.673,-0.89,0.999999899935376,negative
220.8872,14.398,0.23,0.999999902414323,negative
94.98163,15.215,-0.41,0.999999903048035,negative
221.0018,9.881,0.39,0.99999990364177,negative
154.01207,25.802,0.37,0.999999909127381,negative
146.92598,20.493,0.53,0.999999909713824,negative
210.99172,21.92,-1.02,0.999999935106287,negative
87.00848,11.04,-0.22,0.999999936665991,negative
89.02531,9.214,0.63,0.999999937431779,negative
132.02999,25.805,0.58,0.999999940461088,negative
129.05554,1.804,-1.63,0.999999947054167,negative
122.96733,1.062,-0.14,0.999999952459764,negative
94.0295,26.401,1.11,0.999999953171092,negative
196.00165,21.009,0.92,0.999999954754056,negative
77.03938,16.901,0.29,0.999999954905243,negative
111.0085,1.22,0.24,0.999999955622547,negative
147.0491,1.066,1.05,0.9999999572553,negative
85.02918,12.176,0.35,0.999999961707344,negative
195.99222,14.122,-0.73,0.99999996350299,negative
203.056,28.939,4.19,0.999999964294846,negative
123.90184,1.321,-0.35,0.999999965191974,negative
152.04314,15.247,-0.65,0.999999967554695,negative
61.98862,15.047,1.52,0.999999967837256,negative
92.02133,1.134,-0.41,0.999999972533974,negative
289.99092,18.427,-0.86,0.999999972779995,negative
99.00848,1.245,0.38,0.999999977305099,negative
98.96399,14.33,0.42,0.999999978496033,negative
181.08691,1.223,-0.33,0.999999979291827,negative
135.03105,1.263,-0.34,0.999999980075141,negative
182.04579,28.362,-0.44,0.999999983638934,negative
198.33498,17.327,-0.6,0.999999985366199,negative
277.18079,28.988,4.3,0.999999985934826,negative
196.93143,14.321,0.29,0.999999986770097,negative
125.0103,9.307,0.13,0.999999986815353,negative
164.03857,1.367,1.21,0.999999987553022,negative
152.98615,14.702,0.24,0.999999989946741,negative
198.33517,20.732,-0.52,0.999999990444622,negative
207.02984,21.559,0.22,0.999999991417118,negative
221.08199,28.634,1.98,0.999999991684221,negative
111.0449,1.253,-0.85,0.999999992130427,negative
185.04544,14.996,0.17,0.999999992285852,negative
196.02506,22.212,-0.13,0.99999999306857,negative
170.08231,13.385,0.17,0.99999999469235,negative
85.02917,2.171,0.69,0.999999995325791,negative
123.0085,1.166,-0.18,0.999999995391631,negative
60.0093,13.399,-0.66,0.999999995406904,negative
187.00119,16.802,-0.21,0.999999995578073,negative
91.02182,1.141,-1.18,0.999999995632488,negative
175.06111,13.431,-0.11,0.999999995923811,negative
125.06054,15.329,-0.11,0.999999995993942,negative
203.01953,17.787,-0.29,0.999999996589938,negative
227.09243,14.318,0.12,0.999999996621309,negative
211.06134,18.262,0.49,0.999999996665703,negative
131.0348,13.459,0.13,0.999999997088698,negative
168.02775,1.18,0.66,0.999999997094259,negative
61.98869,2.183,0.4,0.999999997172975,negative
204.05126,12.867,-0.25,0.999999997541407,negative
281.2485,10.531,-0.1,0.99999999820717,negative
160.06183,1.271,0.17,0.999999998212147,negative
195.99214,28.039,1.58,0.999999998239725,negative
171.00635,28.452,0.45,0.999999998317454,negative
94.98031,1.714,-0.23,0.999999998367369,negative
167.00196,12.591,0.64,0.99999999852964,negative
193.08675,0.99,1,0.99999999862855,negative
134.99292,15.428,-0.92,0.999999998685597,negative
189.07674,13.457,-0.18,0.999999998896226,negative
194.92722,14.326,0.26,0.999999998918836,negative
239.12907,1.228,0.35,0.999999998955742,negative
151.03993,1.263,-0.57,0.99999999896355,negative
