mz,rt,t.score,p.value,mode
271.22782,1.13,-1.11,0.999286705246734,negative
175.09747,11.349,-0.07,0.999316972432635,negative
96.95982,15.804,0.72,0.999321131349055,negative
172.95789,28.514,-1.12,0.999354805685572,negative
259.66287,4.114,2.06,0.99937044968622,negative
77.03936,16.837,0.37,0.999383759801226,negative
129.05554,1.804,-2.25,0.999424944493538,negative
252.99982,4.215,0.97,0.999440889733011,negative
277.18079,28.988,-2.39,0.999472248324116,negative
221.08199,28.634,-2.36,0.999486713599119,negative
161.04551,13.376,0.32,0.999487763626291,negative
202.00164,25.717,1.37,0.999501500978022,negative
137.02427,1.313,-0.08,0.999572215316385,negative
195.99214,28.039,1.11,0.999587473914939,negative
194.06187,12.68,-1.07,0.999613050534793,negative
243.16006,1.263,-0.91,0.99962558461188,negative
185.02769,16.28,-1.66,0.999648810135711,negative
77.03938,16.901,0.38,0.99965607540797,negative
116.92826,18.107,0.36,0.999661760935514,negative
186.6625,15.609,1.3,0.999713640653857,negative
191.92048,1.109,1.13,0.999719353496782,negative
229.14442,8.741,0.55,0.999721491135266,negative
252.9992,13.534,0.62,0.999742229609488,negative
193.05047,23.506,0.5,0.999791428231469,negative
125.0103,9.307,0.62,0.999801201871916,negative
155.07126,18.176,0.22,0.999805069525991,negative
103.00337,16.506,0.28,0.999805729821327,negative
175.06111,16.225,0.34,0.999806920883411,negative
232.04749,15.22,1.15,0.99981073855338,negative
87.00847,1.196,0.27,0.999813421398651,negative
125.06054,15.329,-0.17,0.999814014077929,negative
99.00844,8.929,0.96,0.999824327699124,negative
271.22769,1.307,-0.82,0.999829634106474,negative
115.03981,1.325,0.25,0.999837135349015,negative
232.88325,14.293,-0.55,0.999844190620679,negative
194.01726,12.104,0.43,0.999844512644379,negative
72.9928,1.236,0.41,0.999857664505763,negative
61.98801,1.152,0.32,0.999858427558853,negative
59.98505,29.015,-2.82,0.999864776723259,negative
89.02531,9.214,1.35,0.999866193381751,negative
175.02473,13.577,0.88,0.999868456074645,negative
134.89446,18.069,0.89,0.999879600432467,negative
201.04048,8.712,0.92,0.999886436103724,negative
281.24851,15.347,0.52,0.999895285386614,negative
198.33498,17.327,0.79,0.999895369827867,negative
173.92866,1.183,-0.38,0.999903740980748,negative
193.66321,20.707,-1.95,0.999914388153341,negative
101.0241,13.474,0.54,0.999918146433654,negative
217.04224,1.87,0.43,0.999918479574914,negative
200.98622,28.503,-0.53,0.999919666771052,negative
167.02077,18.281,0.49,0.999921900976757,negative
308.05162,12.232,-0.4,0.999922957914133,negative
171.06623,15.347,-0.18,0.999927541730138,negative
229.10803,14.677,0.32,0.9999279422012,negative
99.04483,13.866,0.45,0.999929009914442,negative
281.24847,1.211,0.24,0.999930185447284,negative
233.00649,1.555,0.61,0.999934405220279,negative
170.08231,13.385,0.31,0.999935766558385,negative
179.07129,1.223,0.64,0.999942084211287,negative
155.02673,1.035,-0.91,0.999944588511833,negative
137.94038,28.844,1,0.999947365471047,negative
252.99953,5.893,0.72,0.999947522086122,negative
102.05577,28.942,-5.64,0.999949254523643,negative
175.02471,13.57,0.74,0.999950007055941,negative
152.98619,16.117,-0.6,0.999950415729611,negative
110.97554,13.069,0.63,0.999952789740898,negative
172.99131,16.097,-0.67,0.999955588800155,negative
128.01001,13.996,-0.18,0.999957378104867,negative
129.05549,1.435,0.15,0.999959636346967,negative
174.93741,15.564,-1.2,0.999960545128277,negative
272.88307,18.099,0.37,0.999962218011021,negative
89.02536,6.008,-0.52,0.999964661212888,negative
177.09204,1.252,-0.47,0.999967430531036,negative
111.01972,1.016,0.73,0.999969037791069,negative
149.00902,13.962,0.27,0.999970404850269,negative
149.04534,13.616,0.39,0.999970925925305,negative
160.89268,1.188,-1.63,0.999972526580525,negative
208.93728,14.81,0.15,0.999974867805763,negative
205.03526,13.671,0.53,0.999975119187595,negative
158.93448,14.088,0.56,0.999975161116428,negative
91.04095,1.414,-0.36,0.99997562072398,negative
147.02975,13.451,0.73,0.999976701238801,negative
175.02464,16.634,0.42,0.999976848388071,negative
213.07675,13.808,-0.18,0.999977026618947,negative
60.0093,13.399,0.99,0.999977981001971,negative
167.07127,1.222,-0.73,0.999978300305109,negative
229.14436,18.291,-0.4,0.999979867034032,negative
105.9356,1.173,0.31,0.999981051651936,negative
160.02514,13.275,0.19,0.999984215856116,negative
296.00854,11.05,1.09,0.999984350901039,negative
100.98532,1.319,-0.12,0.999984801262726,negative
225.18605,1.268,0.74,0.999985584050527,negative
308.05157,12.43,-0.34,0.999986234383148,negative
220.06484,12.647,-0.23,0.99998641301445,negative
184.99131,1.12,-0.29,0.999986623160299,negative
135.04494,19.125,0.14,0.999987115373078,negative
173.08183,14.605,0.6,0.99998904142498,negative
134.97291,13.533,-0.33,0.999989780430695,negative
277.18071,25.592,-0.36,0.999990075480291,negative
196.93143,14.321,-0.61,0.999990577543888,negative
